,Wireless Earbuds,price,PlaybackHours,offer
0, Airdopes 131 ,"<span class=""price price--highlight product-card-price"" data-price=""89900"">
<span class=""visually-hidden"">Sale price</span>₹899</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">60 Hours Playback</span>","<p class=""m-0 pr-2 off"">70% off</p>"
1, Airdopes Atom 83 ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">54% off</p>"
2, Airdopes 161 ,"<span class=""price price--highlight product-card-price"" data-price=""109900"">
<span class=""visually-hidden"">Sale price</span>₹1,099</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">40 Hours Playback</span>","<p class=""m-0 pr-2 off"">56% off</p>"
3, Nirvana Ion ,"<span class=""price price--highlight product-card-price"" data-price=""199900"">
<span class=""visually-hidden"">Sale price</span>₹1,999</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">120 Hours Playback</span>","<p class=""m-0 pr-2 off"">75% off</p>"
4, Airdopes 170 ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">54% off</p>"
5, Airdopes Alpha ,"<span class=""price price--highlight product-card-price"" data-price=""99900"">
<span class=""visually-hidden"">Sale price</span>₹999</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">35 Hours Playback</span>","<p class=""m-0 pr-2 off"">71% off</p>"
6, Airdopes Hype ,"<span class=""price price--highlight product-card-price"" data-price=""169900"">
<span class=""visually-hidden"">Sale price</span>₹1,699</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">100 Hours Playback</span>","<p class=""m-0 pr-2 off"">69% off</p>"
7, Airdopes 141 ,"<span class=""price price--highlight product-card-price"" data-price=""129900"">
<span class=""visually-hidden"">Sale price</span>₹1,299</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">42 Hours Playback</span>","<p class=""m-0 pr-2 off"">71% off</p>"
8, Airdopes Ultra Plus ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">68% off</p>"
9, Immortal 131 ,"<span class=""price price--highlight product-card-price"" data-price=""119900"">
<span class=""visually-hidden"">Sale price</span>₹1,199</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">Gaming Earbuds</span>","<p class=""m-0 pr-2 off"">66% off</p>"
10, Airdopes Ace ,"<span class=""price price--highlight product-card-price"" data-price=""129900"">
<span class=""visually-hidden"">Sale price</span>₹1,299</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">35 Hours Playback</span>","<p class=""m-0 pr-2 off"">63% off</p>"
11, Airdopes 163 ,"<span class=""price price--highlight product-card-price"" data-price=""139900"">
<span class=""visually-hidden"">Sale price</span>₹1,399</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">17 Hours Playback</span>","<p class=""m-0 pr-2 off"">44% off</p>"
12, Airdopes Zing ,"<span class=""price price--highlight product-card-price"" data-price=""139900"">
<span class=""visually-hidden"">Sale price</span>₹1,399</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">75 Hours Playback</span>","<p class=""m-0 pr-2 off"">60% off</p>"
13,TRebel Airdopes 141 ,"<span class=""price price--highlight product-card-price"" data-price=""119900"">
<span class=""visually-hidden"">Sale price</span>₹1,199</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">42 Hours Playback</span>","<p class=""m-0 pr-2 off"">73% off</p>"
14, Airdopes 138 PRO ,"<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">45 Hours Playback</span>","<p class=""m-0 pr-2 off"">47% off</p>"
15, Immortal 111 ,"<span class=""price price--highlight product-card-price"" data-price=""144900"">
<span class=""visually-hidden"">Sale price</span>₹1,449</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">Gaming Earbuds</span>","<p class=""m-0 pr-2 off"">59% off</p>"
16, Airdopes Supreme ,"<span class=""price price--highlight product-card-price"" data-price=""149900"">
<span class=""visually-hidden"">Sale price</span>₹1,499</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">75% off</p>"
17, Airdopes Bliss ANC ,"<span class=""price price--highlight product-card-price"" data-price=""199900"">
<span class=""visually-hidden"">Sale price</span>₹1,999</span>","<span class=""metafeild-label label--highlight custom-label label ui-2"">Noise Cancellation</span>","<p class=""m-0 pr-2 off"">67% off</p>"
,,,,
